instance_name,algo_type,source,target,k,vertices,edges,vertices_preprocess,edges_preprocess,path_count,avg_length,ms, ms_preprocess,diversity, diversity_uw, div_min, div_max, min_uw, max_uw
wikivote.txt.gz,Diverse,5457,664,10,7115,103689,24,41,37,4.0,29,18,348.0,348.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,5457,664,10,7115,103689,24,41,37,4.0,18,18,314.0,314.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,4066,4600,10,7115,103689,28,59,33,3.0,22,17,254.0,254.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,4066,4600,10,7115,103689,28,59,33,3.0,17,17,222.0,222.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5197,396,10,7115,103689,28,50,61,5.0,17,16,388.0,388.0,0.0,10.0,0.0,10.0
wikivote.txt.gz,KBest,5197,396,10,7115,103689,28,50,61,5.0,16,16,336.0,336.0,4.0,10.0,4.0,10.0
wikivote.txt.gz,Diverse,591,7062,10,7115,103689,57,107,52,6.0,27,16,402.0,402.0,6.0,10.0,6.0,10.0
wikivote.txt.gz,KBest,591,7062,10,7115,103689,57,107,52,6.0,16,16,294.0,294.0,4.0,10.0,4.0,10.0
wikivote.txt.gz,Diverse,302,4809,10,7115,103689,33,65,37,4.0,17,16,338.0,338.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,302,4809,10,7115,103689,33,65,37,4.0,16,16,304.0,304.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,3619,6945,10,7115,103689,25,56,33,4.0,19,18,266.0,266.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,3619,6945,10,7115,103689,25,56,33,4.0,18,18,252.0,252.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,4185,506,10,7115,103689,33,63,32,4.0,18,16,256.0,256.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,4185,506,10,7115,103689,33,63,32,4.0,16,16,228.0,228.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5522,6790,10,7115,103689,30,68,40,4.0,20,19,264.0,264.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,5522,6790,10,7115,103689,30,68,40,4.0,19,19,250.0,250.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,7753,5298,10,7115,103689,42,91,56,5.0,17,15,346.0,346.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,7753,5298,10,7115,103689,42,91,56,5.0,15,15,318.0,318.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,5709,6,10,7115,103689,67,129,112,5.0,21,17,426.0,426.0,8.0,10.0,8.0,10.0
wikivote.txt.gz,KBest,5709,6,10,7115,103689,67,129,112,5.0,17,17,378.0,378.0,4.0,10.0,4.0,10.0
wikivote.txt.gz,Diverse,172,5467,10,7115,103689,35,79,46,3.0,19,17,264.0,264.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,172,5467,10,7115,103689,35,79,46,3.0,17,17,252.0,252.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1853,6149,10,7115,103689,44,83,41,6.0,24,22,318.0,318.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,1853,6149,10,7115,103689,44,83,41,6.0,22,22,294.0,294.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,7649,2552,10,7115,103689,31,61,32,4.0,16,15,344.0,344.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,7649,2552,10,7115,103689,31,61,32,4.0,15,15,328.0,328.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,3707,1689,10,7115,103689,44,89,48,5.0,17,15,342.0,342.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,3707,1689,10,7115,103689,44,89,48,5.0,15,15,302.0,302.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,269,2972,10,7115,103689,30,61,33,3.0,20,19,268.0,268.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,269,2972,10,7115,103689,30,61,33,3.0,19,19,240.0,240.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2380,1569,10,7115,103689,40,85,47,4.0,18,16,268.0,268.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,2380,1569,10,7115,103689,40,85,47,4.0,16,16,248.0,248.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2964,5295,10,7115,103689,43,97,56,3.0,20,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,2964,5295,10,7115,103689,43,97,56,3.0,18,18,250.0,250.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5709,6965,10,7115,103689,68,130,112,6.0,20,16,426.0,426.0,8.0,10.0,8.0,10.0
wikivote.txt.gz,KBest,5709,6965,10,7115,103689,68,130,112,6.0,16,16,378.0,378.0,4.0,10.0,4.0,10.0
wikivote.txt.gz,Diverse,6375,4777,10,7115,103689,30,60,32,4.0,16,15,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,6375,4777,10,7115,103689,30,60,32,4.0,15,15,248.0,248.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,504,5756,10,7115,103689,57,115,64,5.0,22,19,356.0,356.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,504,5756,10,7115,103689,57,115,64,5.0,19,19,330.0,330.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,3804,2338,10,7115,103689,47,129,84,4.0,20,17,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,3804,2338,10,7115,103689,47,129,84,4.0,17,17,258.0,258.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,154,1791,10,7115,103689,31,66,37,3.0,21,20,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,154,1791,10,7115,103689,31,66,37,3.0,20,20,244.0,244.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1744,6340,10,7115,103689,32,65,35,4.0,17,16,314.0,314.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,1744,6340,10,7115,103689,32,65,35,4.0,16,16,272.0,272.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,3175,2925,10,7115,103689,31,70,41,3.0,16,15,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,3175,2925,10,7115,103689,31,70,41,3.0,15,15,252.0,252.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,3977,7512,10,7115,103689,84,211,167,4.0,22,15,358.0,358.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,3977,7512,10,7115,103689,84,211,167,4.0,15,15,320.0,320.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,7003,802,10,7115,103689,40,84,46,5.0,17,15,296.0,296.0,0.0,8.0,0.0,8.0
wikivote.txt.gz,KBest,7003,802,10,7115,103689,40,84,46,5.0,15,15,266.0,266.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,5289,1243,10,7115,103689,40,80,45,4.0,18,16,346.0,346.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,5289,1243,10,7115,103689,40,80,45,4.0,16,16,302.0,302.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,2772,3643,10,7115,103689,34,67,35,4.0,19,18,268.0,268.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,2772,3643,10,7115,103689,34,67,35,4.0,18,18,256.0,256.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,3802,935,10,7115,103689,43,90,49,4.0,18,15,344.0,344.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,3802,935,10,7115,103689,43,90,49,4.0,15,15,306.0,306.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1846,2689,10,7115,103689,48,116,70,5.0,20,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,1846,2689,10,7115,103689,48,116,70,5.0,18,18,266.0,266.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2141,5835,10,7115,103689,32,67,37,4.0,17,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,2141,5835,10,7115,103689,32,67,37,4.0,16,16,258.0,258.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1980,216,10,7115,103689,26,45,36,4.0,14,14,350.0,350.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,1980,216,10,7115,103689,26,45,36,4.0,14,14,318.0,318.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1749,5714,10,7115,103689,68,203,137,3.0,22,17,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,1749,5714,10,7115,103689,68,203,137,3.0,17,17,262.0,262.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,4273,2674,10,7115,103689,27,67,42,3.0,17,16,264.0,264.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,4273,2674,10,7115,103689,27,67,42,3.0,16,16,260.0,260.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,6771,1326,10,7115,103689,39,85,86,5.0,19,16,352.0,352.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,6771,1326,10,7115,103689,39,85,86,5.0,16,16,326.0,326.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,7391,3258,10,7115,103689,33,66,35,3.0,17,16,264.0,264.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,7391,3258,10,7115,103689,33,66,35,3.0,16,16,256.0,256.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2077,5106,10,7115,103689,47,98,53,4.0,20,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,2077,5106,10,7115,103689,47,98,53,4.0,18,18,262.0,262.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,6320,896,10,7115,103689,41,83,44,3.0,20,18,266.0,266.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,6320,896,10,7115,103689,41,83,44,3.0,18,18,248.0,248.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1894,4653,10,7115,103689,80,186,109,5.0,23,18,314.0,314.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,1894,4653,10,7115,103689,80,186,109,5.0,18,18,268.0,268.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,3073,5321,10,7115,103689,43,104,63,3.0,20,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,3073,5321,10,7115,103689,43,104,63,3.0,18,18,252.0,252.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5765,3772,10,7115,103689,42,105,65,4.0,18,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,5765,3772,10,7115,103689,42,105,65,4.0,16,16,258.0,258.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,4495,4798,10,7115,103689,33,70,39,4.0,19,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,4495,4798,10,7115,103689,33,70,39,4.0,18,18,258.0,258.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,3006,978,10,7115,103689,42,96,56,3.0,19,17,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,3006,978,10,7115,103689,42,96,56,3.0,17,17,258.0,258.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,6007,1260,10,7115,103689,86,192,160,5.0,21,15,426.0,426.0,6.0,10.0,6.0,10.0
wikivote.txt.gz,KBest,6007,1260,10,7115,103689,86,192,160,5.0,15,15,390.0,390.0,4.0,10.0,4.0,10.0
wikivote.txt.gz,Diverse,6071,152,10,7115,103689,51,98,49,4.0,16,14,254.0,254.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,6071,152,10,7115,103689,51,98,49,4.0,14,14,224.0,224.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,3047,8277,10,7115,103689,34,64,37,4.0,17,16,338.0,338.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,3047,8277,10,7115,103689,34,64,37,4.0,16,16,322.0,322.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,5915,5155,10,7115,103689,36,74,40,3.0,16,15,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,5915,5155,10,7115,103689,36,74,40,3.0,15,15,258.0,258.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5615,2818,10,7115,103689,34,68,36,4.0,18,17,302.0,302.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,5615,2818,10,7115,103689,34,68,36,4.0,17,17,244.0,244.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,3615,7726,10,7115,103689,76,186,112,3.0,20,15,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,3615,7726,10,7115,103689,76,186,112,3.0,15,15,262.0,262.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1535,2977,10,7115,103689,48,131,85,4.0,20,17,270.0,270.0,6.0,6.0,6.0,6.0
