Instance_Name,Algo_Type,Source,Target,k,#V,#E,#V_stPaths,#E_stPaths,#stPaths,Avg_stPath_Length,Milliseconds, PrepMillisec,Diversity, UnweightedDiv, MinDiv, MaxDiv, MinUnw, MaxUnw
wikivote.txt.gz,Diverse,5457,664,10,7115,103689,24,41,37,4.0,33,19,348.0,348.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,5457,664,10,7115,103689,24,41,37,4.0,19,19,292.0,292.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,4066,4600,10,7115,103689,28,59,33,3.0,27,18,254.0,254.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,4066,4600,10,7115,103689,28,59,33,3.0,18,18,242.0,242.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5197,396,10,7115,103689,28,50,61,5.0,19,17,388.0,388.0,0.0,10.0,0.0,10.0
wikivote.txt.gz,KBest,5197,396,10,7115,103689,28,50,61,5.0,17,17,334.0,334.0,4.0,10.0,4.0,10.0
wikivote.txt.gz,Diverse,591,7062,10,7115,103689,57,107,52,6.0,36,16,402.0,402.0,6.0,10.0,6.0,10.0
wikivote.txt.gz,KBest,591,7062,10,7115,103689,57,107,52,6.0,16,16,366.0,366.0,4.0,10.0,4.0,10.0
wikivote.txt.gz,Diverse,302,4809,10,7115,103689,33,65,37,4.0,19,17,338.0,338.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,302,4809,10,7115,103689,33,65,37,4.0,17,17,316.0,316.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,3619,6945,10,7115,103689,25,56,33,4.0,20,18,266.0,266.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,3619,6945,10,7115,103689,25,56,33,4.0,18,18,230.0,230.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,4185,506,10,7115,103689,33,63,32,4.0,18,16,256.0,256.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,4185,506,10,7115,103689,33,63,32,4.0,16,16,244.0,244.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5522,6790,10,7115,103689,30,68,40,4.0,21,19,264.0,264.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,5522,6790,10,7115,103689,30,68,40,4.0,19,19,240.0,240.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,7753,5298,10,7115,103689,42,91,56,5.0,20,16,346.0,346.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,7753,5298,10,7115,103689,42,91,56,5.0,16,16,304.0,304.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,5709,6,10,7115,103689,67,129,112,5.0,24,17,426.0,426.0,8.0,10.0,8.0,10.0
