Instance_Name,Algo_Type,Source,Target,k,#V,#E,#V_stPaths,#E_stPaths,#stPaths,Avg_stPath_Length,Milliseconds,Diversity
wikivote.txt.gz,Diverse,5457,664,10,7115,103689,24,41,37,4.0,63,348.0
wikivote.txt.gz,KBest,5457,664,10,7115,103689,24,41,37,4.0,34,292.0
wikivote.txt.gz,Diverse,4066,4600,10,7115,103689,28,59,33,3.0,29,254.0
wikivote.txt.gz,KBest,4066,4600,10,7115,103689,28,59,33,3.0,32,242.0
wikivote.txt.gz,Diverse,5197,396,10,7115,103689,28,50,61,5.0,23,388.0
wikivote.txt.gz,KBest,5197,396,10,7115,103689,28,50,61,5.0,29,334.0
wikivote.txt.gz,Diverse,591,7062,10,7115,103689,57,107,52,6.0,31,402.0
wikivote.txt.gz,KBest,591,7062,10,7115,103689,57,107,52,6.0,18,366.0
wikivote.txt.gz,Diverse,302,4809,10,7115,103689,33,65,37,4.0,20,338.0
wikivote.txt.gz,KBest,302,4809,10,7115,103689,33,65,37,4.0,17,316.0
wikivote.txt.gz,Diverse,3619,6945,10,7115,103689,25,56,33,4.0,21,266.0
wikivote.txt.gz,KBest,3619,6945,10,7115,103689,25,56,33,4.0,19,230.0
wikivote.txt.gz,Diverse,4185,506,10,7115,103689,33,63,32,4.0,21,256.0
wikivote.txt.gz,KBest,4185,506,10,7115,103689,33,63,32,4.0,24,244.0
wikivote.txt.gz,Diverse,5522,6790,10,7115,103689,30,68,40,4.0,23,264.0
wikivote.txt.gz,KBest,5522,6790,10,7115,103689,30,68,40,4.0,24,240.0
wikivote.txt.gz,Diverse,7753,5298,10,7115,103689,42,91,56,5.0,20,346.0
wikivote.txt.gz,KBest,7753,5298,10,7115,103689,42,91,56,5.0,17,304.0
wikivote.txt.gz,Diverse,5709,6,10,7115,103689,67,129,112,5.0,28,426.0
wikivote.txt.gz,KBest,5709,6,10,7115,103689,67,129,112,5.0,30,346.0
wikivote.txt.gz,Diverse,172,5467,10,7115,103689,35,79,46,3.0,21,264.0
wikivote.txt.gz,KBest,172,5467,10,7115,103689,35,79,46,3.0,18,236.0
wikivote.txt.gz,Diverse,1853,6149,10,7115,103689,44,83,41,6.0,24,318.0
wikivote.txt.gz,KBest,1853,6149,10,7115,103689,44,83,41,6.0,20,288.0
wikivote.txt.gz,Diverse,7649,2552,10,7115,103689,31,61,32,4.0,19,344.0
wikivote.txt.gz,KBest,7649,2552,10,7115,103689,31,61,32,4.0,17,286.0
wikivote.txt.gz,Diverse,3707,1689,10,7115,103689,44,89,48,5.0,22,342.0
wikivote.txt.gz,KBest,3707,1689,10,7115,103689,44,89,48,5.0,17,314.0
wikivote.txt.gz,Diverse,269,2972,10,7115,103689,30,61,33,3.0,24,268.0
wikivote.txt.gz,KBest,269,2972,10,7115,103689,30,61,33,3.0,22,252.0
wikivote.txt.gz,Diverse,2380,1569,10,7115,103689,40,85,47,4.0,22,268.0
wikivote.txt.gz,KBest,2380,1569,10,7115,103689,40,85,47,4.0,19,234.0
wikivote.txt.gz,Diverse,2964,5295,10,7115,103689,43,97,56,3.0,39,270.0
wikivote.txt.gz,KBest,2964,5295,10,7115,103689,43,97,56,3.0,33,246.0
wikivote.txt.gz,Diverse,5709,6965,10,7115,103689,68,130,112,6.0,24,426.0
wikivote.txt.gz,KBest,5709,6965,10,7115,103689,68,130,112,6.0,18,346.0
wikivote.txt.gz,Diverse,6375,4777,10,7115,103689,30,60,32,4.0,20,270.0
wikivote.txt.gz,KBest,6375,4777,10,7115,103689,30,60,32,4.0,18,254.0
wikivote.txt.gz,Diverse,504,5756,10,7115,103689,57,115,64,5.0,27,356.0
wikivote.txt.gz,KBest,504,5756,10,7115,103689,57,115,64,5.0,21,324.0
wikivote.txt.gz,Diverse,3804,2338,10,7115,103689,47,129,84,4.0,28,270.0
wikivote.txt.gz,KBest,3804,2338,10,7115,103689,47,129,84,4.0,18,234.0
wikivote.txt.gz,Diverse,154,1791,10,7115,103689,31,66,37,3.0,23,270.0
wikivote.txt.gz,KBest,154,1791,10,7115,103689,31,66,37,3.0,21,252.0
wikivote.txt.gz,Diverse,1744,6340,10,7115,103689,32,65,35,4.0,18,314.0
wikivote.txt.gz,KBest,1744,6340,10,7115,103689,32,65,35,4.0,16,282.0
wikivote.txt.gz,Diverse,3175,2925,10,7115,103689,31,70,41,3.0,17,270.0
wikivote.txt.gz,KBest,3175,2925,10,7115,103689,31,70,41,3.0,15,234.0
wikivote.txt.gz,Diverse,3977,7512,10,7115,103689,84,211,167,4.0,29,358.0
wikivote.txt.gz,KBest,3977,7512,10,7115,103689,84,211,167,4.0,17,296.0
wikivote.txt.gz,Diverse,7003,802,10,7115,103689,40,84,46,5.0,20,296.0
wikivote.txt.gz,KBest,7003,802,10,7115,103689,40,84,46,5.0,17,272.0
wikivote.txt.gz,Diverse,5289,1243,10,7115,103689,40,80,45,4.0,20,346.0
wikivote.txt.gz,KBest,5289,1243,10,7115,103689,40,80,45,4.0,17,308.0
wikivote.txt.gz,Diverse,2772,3643,10,7115,103689,34,67,35,4.0,21,268.0
wikivote.txt.gz,KBest,2772,3643,10,7115,103689,34,67,35,4.0,19,238.0
wikivote.txt.gz,Diverse,3802,935,10,7115,103689,43,90,49,4.0,20,344.0
wikivote.txt.gz,KBest,3802,935,10,7115,103689,43,90,49,4.0,16,332.0
wikivote.txt.gz,Diverse,1846,2689,10,7115,103689,48,116,70,5.0,23,270.0
wikivote.txt.gz,KBest,1846,2689,10,7115,103689,48,116,70,5.0,21,252.0
wikivote.txt.gz,Diverse,2141,5835,10,7115,103689,32,67,37,4.0,19,270.0
wikivote.txt.gz,KBest,2141,5835,10,7115,103689,32,67,37,4.0,17,250.0
wikivote.txt.gz,Diverse,1980,216,10,7115,103689,26,45,36,4.0,16,350.0
wikivote.txt.gz,KBest,1980,216,10,7115,103689,26,45,36,4.0,15,302.0
wikivote.txt.gz,Diverse,1749,5714,10,7115,103689,68,203,137,3.0,27,270.0
wikivote.txt.gz,KBest,1749,5714,10,7115,103689,68,203,137,3.0,19,238.0
wikivote.txt.gz,Diverse,4273,2674,10,7115,103689,27,67,42,3.0,19,264.0
wikivote.txt.gz,KBest,4273,2674,10,7115,103689,27,67,42,3.0,17,252.0
